"Year_Index","Year_Calendar","Annual_Return_GMVP_Pct","Annual_Return_MV_Pct","Annual_Return_SP500_Pct","Volatility_GMVP_Pct","Volatility_MV_Pct","Volatility_SP500_Pct","Sharpe_GMVP","Sharpe_MV","Sharpe_SP500","Turnover_GMVP","Turnover_MV","Trans_Cost_GMVP_Bps","Trans_Cost_MV_Bps"
1,2005,2.78,3.84,8.25,20.19,8.41,8.57,-0.002,0.121,0.633,0.939,0.321,0.0939,0.0321
2,2006,23.7,17.85,16.79,10.56,7.62,7,1.807,1.737,1.738,0.373,0.039,0.0373,0.0039
3,2007,12.76,10.3,14.34,10.74,11.57,8.08,0.741,0.474,1.18,0.158,0.025,0.0158,0.0025
4,2008,-32.39,-43.09,-36.06,13.67,22.4,20.29,-2.523,-2.017,-1.881,0.098,0.103,0.0098,0.0103
5,2009,-1.25,-13.18,9.72,27.12,50.85,23.47,-0.053,-0.263,0.406,0.224,0.14,0.0224,0.014
6,2010,0.9,5.15,16.68,19.29,25.24,18.93,0.04,0.199,0.874,0.336,0.267,0.0336,0.0267
7,2011,17.04,6.84,8.02,16.86,21.1,17.72,1.005,0.32,0.448,0.051,0.027,0.0051,0.0027
8,2012,24.23,23.68,15.04,13.77,16.19,10.47,1.754,1.459,1.43,0.053,0.034,0.0053,0.0034
9,2013,13.01,22.52,27.09,10.01,10.32,9.73,1.294,2.177,2.776,0.024,0.033,0.0024,0.0033
10,2014,10.07,12.37,16.95,10.8,10,7.97,0.928,1.234,2.121,0.02,0.024,0.002,0.0024
11,2015,1.58,7.8,5.19,16.27,21.06,14.51,0.096,0.369,0.356,0.05,0.013,0.005,0.0013
12,2016,3.59,5.43,4.42,10.85,10.32,9.59,0.307,0.502,0.435,0.028,0.044,0.0028,0.0044
13,2017,10.15,7.1,23.43,9.81,8.82,4.68,0.957,0.72,4.845,0.023,0.016,0.0023,0.0016
14,2018,9.47,-8.17,7.16,13.74,12.83,12.47,0.564,-0.771,0.436,0.021,0.079,0.0021,0.0079
15,2019,-3.63,10.25,14.31,19.42,25,17.42,-0.304,0.319,0.691,0.036,0.077,0.0036,0.0077
16,2020,-23.44,-15.53,9.73,29.42,26.94,24.54,-0.82,-0.602,0.369,0.079,0.082,0.0079,0.0082
17,2021,72.46,76.96,42.62,13.91,19.72,13.72,5.207,3.9,3.102,0.176,0.099,0.0176,0.0099
18,2022,25.07,-5.36,-14.63,23.77,25.19,22.69,1.007,-0.258,-0.695,0.027,0.078,0.0027,0.0078
19,2023,-5.11,16.13,9.99,12.13,12.96,15.12,-0.834,0.858,0.329,0.073,0.093,0.0073,0.0093
20,2024,12.7,36.33,37.81,11.54,12.04,10.99,0.635,2.572,2.952,0.025,0.014,0.0025,0.0014
21,2025,7.1,31.39,21.4,9.43,14.22,12.61,0.291,1.9,1.352,0.018,0.013,0.0018,0.0013
